Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.690918199012026,-1.31818064426375,0.905986463170299,0,0,0,0.0953444546366154,2.6536038073633E-05,1.95760719485949E-08,1.32399943739737E-07,5.93899507525617E-05,-1.60400346152967E-07,5.70826120419313E-05,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/base_link.STL,,link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.00834673768181471,0.0592848892623843,-0.0104318358374892,0,0,0,0.0465317343045152,1.28967179873653E-05,-1.15476212501747E-07,-2.00612047421852E-06,1.41046479531017E-05,1.1020913809783E-07,1.28042688740714E-05,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_1.STL,,link2-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.681512899942898,-1.31957371207269,0.9106277233023,1.57079632679489,0,2.30611320700167,base_link,0,1,0,,,,,,,,,,,,
link_2,-0.00411555735719493,-0.049078206685355,0.0151869177885336,0,0,0,0.0196331437668371,8.60828290211513E-06,-6.25849778733872E-07,-2.65465712392E-06,1.03763652187604E-05,1.48452113073735E-06,1.38316237538039E-05,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_2.STL,,link3-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,-0.0138083245935496,0.068000000000025,-0.0144682470230701,0.487759968766331,-0.418616983762083,-2.88954100737179,link_1,0.920715361532496,0.00279090919548267,0.390224850392627,,,,,,,,,,,,
link_3,-0.00444665491595117,0.0223202695441407,-0.0051826332827376,0,0,0,0.0527193093497026,1.35233138733539E-05,-6.51337467875411E-07,-2.45290637972249E-06,1.23208076947286E-05,1.80348552476092E-06,1.78382591990529E-05,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_3.STL,,link4-2,Origin_joint_3,Axis_joint_3,joint_3,continuous,-0.0119074417178174,-0.0981728744551971,0.0287975674965246,1.80745265681979,0.329024616838329,-2.7178037075307,link_2,0.920648187108123,0.00215985289631038,0.390387308464289,,,,,,,,,,,,
link_4,0.000679680189158427,0.0122665484010172,0.0211158228699408,0,0,0,0.0734303247852995,1.38233645740411E-05,8.6105149109657E-07,-2.17371805042538E-06,1.39325618061798E-05,-2.30776403396361E-06,1.90390713182634E-05,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/link_4.STL,,link5-4,Origin_joint_4,Axis_joint_4,joint_4,continuous,0.00878557194232471,0.0942863948762117,-0.0213160274962212,1.88194305720519,0.267396255637506,-2.83688714663628,link_3,0.951231015101869,-0.0451134015264652,0.305162803944024,,,,,,,,,,,,
end_effector_link,0.0116216152043773,0.0349808533080098,0.0434473674467331,0,0,0,0.0389627028541521,6.97303130486511E-06,-6.64245678013252E-08,4.48832145935513E-07,8.82514719864471E-06,1.51665927837239E-06,6.11603879878483E-06,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/end_effector_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/end_effector_link.STL,,link9-1,Origin_end_effector_joint,Axis_end_effector_joint,end_effector_joint,continuous,0.00676342832635413,0.0146630240413734,0.0400279678903513,2.35709760025518,0.0391610622253604,3.12744993716135,link_4,0.0547587819745477,0.91542357974764,0.398749477038755,,,,,,,,,,,,
end_effector_top,3.87435145253745E-05,0.0234339581403702,0.000841242529679542,0,0,0,0.00541878938248698,9.74218321716477E-07,-1.59780386358325E-07,2.6577437706235E-08,1.83945488460284E-07,-1.05194356912045E-07,9.06148379800485E-07,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/end_effector_top.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/end_effector_top.STL,,link7-1,Origin_end_effector_top_joint,Axis_end_effector_top_joint,end_effector_top_joint,continuous,0.00757296910065186,0.0540307736155723,0.00949071322529571,0.374047140395175,-0.00483800739810851,0.179400394246658,end_effector_link,0.89305742676791,-0.21881531130674,0.393151741739004,,,,,,,,,,,,
end_effector_bottom,-0.0100436383703305,0.0180906584672467,0.0101758073062079,0,0,0,0.00541878938248692,9.42591425166675E-07,2.1041113176002E-07,1.38030539343974E-07,3.73508468144874E-07,-2.79600579434092E-07,7.48212296665688E-07,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/end_effector_bottom.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robotic_arm_model_v3/meshes/end_effector_bottom.STL,,link8-1,Origin_end_effector_bottom_joint,Axis_end_effector_bottom_joint,end_effector_bottom_joint,continuous,-0.00239381353176393,0.042964858030635,0.0347750174406856,-0.122809784002549,-0.0302495930646647,-0.418333981513274,end_effector_link,0.940886292200749,0.180976825493297,0.286322150353576,,,,,,,,,,,,
